,,,,,,,,,,,
,ELECTROLINERA 60KW,,,,,,,,,,
,,,,,,,,,,,
,VENTA DE UNIDADES,,,,,,,,,,
,PRECIO ELECTROLINERA," $  120.000.000,00 ",,,,,,,,,
,DESCUENTO,0%,,,,,,,,,
,PRECIO FINAL,$ 0,,,,,,,,,
,PRECIO KW/h ELECTROLINERA,"$ 1.900,00",,,,,,,,,
,PRECIO KW/h ESSA,"$ 1.000,00",,,,,,,,,
,COMSION ADQUIRENCIA,5%,,,,,,,,,
,COSTO ADMINISTRACION GE,10%,,,,,,,,,
,CAPACIDAD DEL VEHICULO,50,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,SIMULADOR PARA FARMERS,,,,,,,,,,
,PROYECCION 10 AÑOS,AÑO 1,AÑO 2,AÑO 3,AÑO 4,AÑO 5,AÑO 6,AÑO 7,AÑO 8,AÑO 9,AÑO 10
,PRECIO GRANJA KW/h," $  1.000,00 "," $  1.060,00 "," $  1.123,60 "," $  1.191,02 "," $  1.262,48 "," $  1.338,23 "," $  1.418,52 "," $  1.503,63 "," $  1.593,85 "," $  1.689,48 "
,PRECIO ELECTROLINERA KW/h," $  1.900,00 "," $  2.014,00 "," $  2.134,84 "," $  2.262,93 "," $  2.398,71 "," $  2.542,63 "," $  2.695,19 "," $  2.856,90 "," $  3.028,31 "," $  3.210,01 "
,CARGAS MENSUALES DE 50KWh,"90,00","99,00","108,90","119,79","131,77","144,95","159,44","175,38","192,92","212,22"
,KWh VENDIDOS,4500,4950,5445,5990,6588,7247,7972,8769,9646,10611
,INGRESOS ELECTROLINERA," $  8.550.000,00 "," $  9.969.300,00 "," $  11.624.203,80 "," $  13.553.821,63 "," $  15.803.756,02 "," $  18.427.179,52 "," $  21.486.091,32 "," $  25.052.782,48 "," $  29.211.544,37 "," $  34.060.660,74 "
,COSTO ENERGIA," $  4.500.000,00 "," $  5.247.000,00 "," $  6.118.002,00 "," $  7.133.590,33 "," $  8.317.766,33 "," $  9.698.515,54 "," $  11.308.469,12 "," $  13.185.674,99 "," $  15.374.497,04 "," $  17.926.663,55 "
,COMISION ADQUIRENCIA," $  427.500,00 "," $  498.465,00 "," $  581.210,19 "," $  677.691,08 "," $  790.187,80 "," $  921.358,98 "," $  1.074.304,57 "," $  1.252.639,12 "," $  1.460.577,22 "," $  1.703.033,04 "
,ADMINISTRACION GE," $  855.000,00 "," $  996.930,00 "," $  1.162.420,38 "," $  1.355.382,16 "," $  1.580.375,60 "," $  1.842.717,95 "," $  2.148.609,13 "," $  2.505.278,25 "," $  2.921.154,44 "," $  3.406.066,07 "
,UTILIDAD BRUTA MENSUAL," $  2.767.500,00 "," $  3.226.905,00 "," $  3.762.571,23 "," $  4.387.158,05 "," $  5.115.426,29 "," $  5.964.587,06 "," $  6.954.708,51 "," $  8.109.190,12 "," $  9.455.315,68 "," $  11.024.898,08 "
,UTILIDAD BRUTA ANUAL," $  33.210.000,00 "," $  38.722.860,00 "," $  45.150.854,76 "," $  52.645.896,65 "," $  61.385.115,49 "," $  71.575.044,67 "," $  83.456.502,08 "," $  97.310.281,43 "," $  113.463.788,14 "," $  132.298.776,97 "
,RENTABILIDAD MENSUAL,"2,31%","2,69%","3,14%","3,66%","4,26%","4,97%","5,80%","6,76%","7,88%","9,19%"
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,ELECTROLINERA 120KW,,,,,,,,,,
,,,,,,,,,,,
,VENTA DE UNIDADES,,,,,,,,,,
,PRECIO ELECTROLINERA," $  180.000.000,00 ",,,,,,,,,
,DESCUENTO,0%,,,,,,,,,
,PRECIO FINAL,$ 0,,,,,,,,,
