,,,,,,,,,
,"GOOD ENERGY FARMS - PROYECTO ""ORO MIEL"" LEBRIJA SANTANDER",,,,,,,,
,,,,,,,,,
,VENTA DE UNIDADES,,,,RENDIMIENTO MENSUAL ESTIMADO,RENDIMIENTO ANUAL ESTIMADO,,VENTA DE UNIDADES,
,UNIDADES DISPONIBLES,100,,,,,,PRECIO COMERCIAL FARM,$ 45.000.000
,POTENCIA INSTALADA,1MW,,1,$ 624.750,$ 7.497.000,,CUOTA INICIAL,$ 15.000.000
,PANELES INSTALADOS,1.429,,2,$ 662.235,$ 7.946.820,,CUOTA INICIAL TOTAL,$ 15.000.000
,GENERACION TECNICA KWh,100.000,,3,$ 701.969,$ 8.423.629,,SALDO A DIFERIR,$ 30.000.000
,PRECIO VENGA KW/h,$ 833,,4,$ 744.087,$ 8.929.047,,No DE CUOTAS,12
,INFLACION ESTIMADA ANUAL,"6,00%",,5,$ 788.732,$ 9.464.790,,VALOR CUOTA MENSUAL,$ 2.500.000
,,,,6,$ 836.056,$ 10.032.677,,,
,UNIDADES REQUERIDAS,1,,7,$ 886.220,$ 10.634.638,,PLAN DE PAGOS,
,DESCUENTO,0%,,8,$ 939.393,$ 11.272.716,,CUOTA INICIAL,$ 15.000.000
,PRECIO COMERCIAL FARM,$ 45.000.000,,9,$ 995.757,$ 11.949.079,,CUOTA 1,$ 2.500.000
,PRECIO CON DESCUENTO,$ 45.000.000,,10,$ 1.055.502,$ 12.666.024,,CUOTA 2,$ 2.500.000
,PRECIO TOTAL PROYECTO,$ 45.000.000,,11,$ 1.118.832,$ 13.425.985,,CUOTA 3,$ 2.500.000
,DIFERENCIA DE PRECIO,$ 0,,12,$ 1.185.962,$ 14.231.544,,CUOTA 4,$ 2.500.000
,,,,13,$ 1.257.120,$ 15.085.437,,CUOTA 5,$ 2.500.000
,RENTABILIDAD ANUAL %,"16,66%",,14,$ 1.332.547,$ 15.990.563,,CUOTA 6,$ 2.500.000
,RENTABILIDAD MENSUAL %,"1,39%",,15,$ 1.412.500,$ 16.949.997,,CUOTA 7,$ 2.500.000
,GANANCIA ANUAL UNIDAD,$ 7.497.000,,16,$ 1.497.250,$ 17.966.997,,CUOTA 8,$ 2.500.000
,GANANCIA MES UNIDAD,$ 624.750,,17,$ 1.587.085,$ 19.045.017,,CUOTA 9,$ 2.500.000
,GANANCIA ANUAL INVERSION,$ 7.497.000,,18,$ 1.682.310,$ 20.187.718,,CUOTA 10,$ 2.500.000
,GANANCIA MES INVERSION,$ 624.750,,19,$ 1.783.248,$ 21.398.981,,CUOTA 11,$ 2.500.000
,GANANCIA TOTAL INVERSIÓN EN 21 AÑOS,$ 299.825.472,,20,$ 1.890.243,$ 22.682.919,,CUOTA 12,$ 2.500.000
,,,,21,$ 2.003.658,$ 24.043.895,,APORTES TOTALES,$ 45.000.000
,,,,TOTAL EJERCICIO,,$ 299.825.472,,,
,,,,MULTIPLICADOR DE INVERSIÓN,,"6,66",,,
